"CNPJ","cd_UGestora","nu_Contrato","tp_Licitacao","vl_TotalContrato","n_municipios","n_ugestora","total_ganho","perc_vitoria","idade_empresa_anos","descricao_tipo_logradouro","porte_empresa","diff_abertura_primeiro_empenho","status","media_num_contratos"
131,601156,"000692015",11,1.50924925517066,3.8030588356376,54,77.0146708851985,0.544196421320076,1.87748583428827,"RUA",1,15638400,1,1.69235568926985
132,601165,"000252014",2,1.50937827844247,1.37748929838316,3,48.8079644737209,0.740163710591486,3.02626190770433,"AVENIDA",1,1061596800,1,0.632819540487224
133,601165,"000262014",2,1.50937828017666,1.37748929838316,3,48.8079644737209,0.740163710591486,3.02626190770433,"AVENIDA",1,1061596800,1,0.632819540487224
134,602139,"010282016",2,1.50919573713732,1.09307760303944,2,25.5994245506303,0,1.41980617342797,"RUA",1,23155200,1,0
135,602171,"000802016",8,1.50967557216915,3.13203183385879,30,65.5641056616149,0.740163710591486,1.77162383117069,"RUA",1,6825600,1,0.632819540487224
136,602171,"000982016",1,1.50959412133144,3.44085440091407,36,75.9307413457299,0.204458234364542,2.28246126657195,"RUA",3,159753600,1,1.1231011792057
137,602171,"001582016",11,1.50957122716579,1.37748929838316,7,74.4400391174745,0.778324793393893,1.67073059235156,"AVENIDA",1,35251200,1,1.15877734982604
138,602171,"001592016",11,1.50938996364346,0.690941237078147,1,35.342692905611,0.513274053152673,1.30840041519902,"RUA",1,7084800,1,0
139,603123,"222012014",2,1.50952750532955,1.09307760303944,2,38.746565664258,0.513274053152673,2.25873851925662,"RUA",1,252288000,1,1.06487295939814
140,201133,"100042016",11,1.50944739454571,2.67458606006447,14,72.1074475186992,0.513274053152673,2.61469375769011,"OUTRO",3,219542400,0,0.632819540487224
141,201216,"000032014",2,1.50942199697474,6.07546180015936,525,125.979599456744,0.384742527635894,2.58210548952379,"RUA",3,122688000,0,2.096862325655
142,201113,"000422015",11,1.50937733142074,3.04749444935395,26,59.9025773732407,0.808070754374357,2.52072972983339,"RUA",1,70156800,0,0.632819540487224
143,302135,"000092015",11,1.50942280937614,2.17516012730845,8,51.7788156128843,0.618700864099763,2.59730416712099,"RUA",3,247363200,0,0.632819540487224
144,201181,"001782015",11,1.50936031745964,2.27836165882247,9,60.1150607037217,0.936839338243861,2.58444190172733,"RUA",1,174528000,0,0.632819540487224
145,610095,"101312015",11,1.50918616803937,0,0,0,0,2.37062218676732,"RUA",5,348537600,0,0
146,201032,"000022014",2,1.50939241580439,1.09307760303944,3,67.5305233430759,0.276894560078116,1.78696756387026,"RUA",3,18662400,0,1.09796808763493
